30,10.50,12.90,14.90,16.80,18.40,20.20,21.40,22.70,23.90,25.00,26.20,27.20,28.20,29.10
29,9.70,12.00,14.00,15.90,17.50,19.00,20.40,21.70,23.00,24.10,25.20,26.20,27.20,28.10
28,8.80,11.10,13.10,15.00,16.60,18.10,19.50,20.80,22.00,23.20,24.20,25.20,26.20,27.10
27,8.00,10.20,12.20,14.10,15.70,17.20,18.60,19.90,21.10,22.20,23.30,24.30,25.20,26.10
26,7.10,9.40,11.40,13.20,14.80,16.30,17.60,18.90,20.10,21.20,22.30,23.30,24.20,25.10
25,6.20,8.50,10.50,12.20,13.90,15.30,16.70,18.00,19.10,20.30,21.30,22.20,23.20,24.10
24,5.40,7.60,9.60,11.30,12.90,14.40,15.80,17.00,18.20,19.30,20.30,21.30,22.20,23.10
23,4.50,6.70,8.70,10.40,12.00,13.50,14.80,16.10,17.20,18.30,19.40,20.30,21.30,22.20
22,3.60,5.90,7.80,9.50,11.10,12.50,13.90,15.10,16.30,17.40,18.40,19.40,20.30,21.20
21,2.80,5.00,6.90,8.60,10.20,11.60,12.90,14.20,15.30,16.40,17.40,18.40,19.30,20.20
20,1.90,4.10,6.00,7.70,9.30,10.70,12.00,13.20,14.40,15.40,16.40,17.40,18.30,19.20
19,1.00,3.20,5.10,6.80,8.30,9.80,11.10,12.30,13.40,14.50,15.50,16.40,17.30,18.20
18,0.20,2.30,4.20,5.90,7.40,8.80,10.10,11.30,12.50,13.50,14.50,15.40,16.30,17.20
17,-0.60,1.40,3.30,5.00,6.50,7.90,9.20,10.40,11.50,12.50,13.50,14.50,15.30,16.20
16,-1.40,0.50,2.40,4.10,5.60,7.00,8.20,9.40,10.50,11.60,12.60,13.50,14.40,15.20
15,-2.20,-0.30,1.50,3.20,4.70,6.10,7.30,8.50,9.60,10.60,11.60,12.50,13.40,14.20
14,-2.90,-1.00,0.60,2.30,3.70,5.10,6.40,7.50,8.60,9.60,10.60,11.50,12.40,13.20
13,-3.70,-1.90,-0.10,1.30,2.80,4.20,5.50,6.60,7.70,8.70,9.60,10.50,11.40,12.20
12,-4.50,-2.60,-1.00,0.40,1.90,3.20,4.50,5.70,6.70,7.70,8.70,9.60,10.00,11.20
11,-5.20,-3.20,-1.80,-0.40,1.00,2.30,3.50,4.70,5.80,6.70,7.70,8.60,9.40,10.20
10,-6.00,-4.20,-2.60,-1.20,0.10,1.40,2.60,3.70,4.80,5.80,6.70,7.60,8.400,9.20
